Sexe,Edat,Nivell Estudis,Sector,Perfil,Windows,Interessos,Twitter,Anglès
Femení,Entre 25 i 34 anys,Màster,Altres,Administratiu,No,Gestió,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Comercial,Analista / programador,Sí,Anàlisi,No,Bàsic
Masculí,Més de 44 anys,Grau,Tecnologia,Directiu,Sí,Gestió,No,Intermig
Masculí,Entre 35 i 44 anys,Grau,Tecnologia,Altres,Sí,Anàlisi,Sí,Avançat
Femení,Entre 35 i 44 anys,Màster,Administració,Científic,Sí,Anàlisi,No,Intermig
Masculí,Entre 35 i 44 anys,Màster,Tecnologia,Directiu,Sí,Gestió,Sí,Avançat
Masculí,Fins a 24 anys,Grau,Tecnologia,Analista / programador,Sí,Gestió,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Secundari,Tècnic,Sí,Tècnic,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Tecnologia,Analista / programador,No,Anàlisi,Sí,Bàsic
Masculí,Entre 25 i 34 anys,Grau,Financer,Directiu,Sí,Gestió,Sí,Intermig
Femení,Entre 35 i 44 anys,Grau,Financer,Altres,Sí,Anàlisi,No,Bàsic
